unit,Geopolitical entity (reporting),TIME_PERIOD,category code,OBS_VALUE,Aggregated category name,NUTS_code
T,Bosnia and Herzegovina,2018,W12-13,13272.0,mineral waste,
T,Bosnia and Herzegovina,2020,W01-05,3690.0,chemical and medical,
T,Bosnia and Herzegovina,2020,W06,1692.0,metal,
T,Bosnia and Herzegovina,2020,W071,7346.0,glass,
T,Bosnia and Herzegovina,2020,W072,33924.0,paper,
T,Bosnia and Herzegovina,2020,W074,10890.0,plastic,
T,Bosnia and Herzegovina,2020,W075,7468.0,wood,
T,Bosnia and Herzegovina,2020,W077_08,0.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2020,W09,52416.0,organic waste,
T,Bosnia and Herzegovina,2020,W10,1700770.0,mixed waste,
T,Bosnia and Herzegovina,2020,W11,4474.0,common sludges,
T,Bosnia and Herzegovina,2020,W12-13,15756.0,mineral waste,
T,Bosnia and Herzegovina,2022,W01-05,2952.0,chemical and medical,
T,Bosnia and Herzegovina,2022,W06,1752.0,metal,
T,Bosnia and Herzegovina,2022,W071,6768.0,glass,
T,Bosnia and Herzegovina,2022,W072,25668.0,paper,
T,Bosnia and Herzegovina,2022,W074,7664.0,plastic,
T,Bosnia and Herzegovina,2022,W075,6532.0,wood,
T,Bosnia and Herzegovina,2022,W077_08,68.0,weee + batt + vehicles,
T,Bosnia and Herzegovina,2022,W09,28860.0,organic waste,
T,Bosnia and Herzegovina,2022,W10,1759064.0,mixed waste,
T,Bosnia and Herzegovina,2022,W11,3626.0,common sludges,
T,Bosnia and Herzegovina,2022,W12-13,7522.0,mineral waste,
T,Belgium,2004,W01-05,31628.0,chemical and medical,BEL
T,Belgium,2004,W071,491936.0,glass,BEL
T,Belgium,2004,W072,1013010.0,paper,BEL
T,Belgium,2004,W074,101128.0,plastic,BEL
T,Belgium,2004,W075,486308.0,wood,BEL
T,Belgium,2004,W077_08,425980.0,weee + batt + vehicles,BEL
T,Belgium,2004,W09,0.0,organic waste,BEL
T,Belgium,2004,W10,3615792.0,mixed waste,BEL
T,Belgium,2004,W11,0.0,common sludges,BEL
T,Belgium,2004,W12-13,23588.0,mineral waste,BEL
T,Belgium,2006,W01-05,23066.0,chemical and medical,BEL
T,Belgium,2006,W071,619128.0,glass,BEL
T,Belgium,2006,W072,1334844.0,paper,BEL
T,Belgium,2006,W074,220734.0,plastic,BEL
T,Belgium,2006,W075,422990.0,wood,BEL
T,Belgium,2006,W077_08,456066.0,weee + batt + vehicles,BEL
T,Belgium,2006,W09,0.0,organic waste,BEL
T,Belgium,2006,W10,3082962.0,mixed waste,BEL
T,Belgium,2006,W11,2550.0,common sludges,BEL
T,Belgium,2006,W12-13,0.0,mineral waste,BEL
T,Belgium,2008,W01-05,35348.0,chemical and medical,BEL
T,Belgium,2008,W071,610846.0,glass,BEL
T,Belgium,2008,W072,1341024.0,paper,BEL
T,Belgium,2008,W074,204594.0,plastic,BEL
T,Belgium,2008,W075,471712.0,wood,BEL
T,Belgium,2008,W077_08,430681.0,weee + batt + vehicles,BEL
T,Belgium,2008,W09,0.0,organic waste,BEL
T,Belgium,2008,W10,3362820.0,mixed waste,BEL
T,Belgium,2008,W11,0.0,common sludges,BEL
T,Belgium,2008,W12-13,0.0,mineral waste,BEL
T,Belgium,2010,W01-05,37324.0,chemical and medical,BEL
T,Belgium,2010,W06,209172.0,metal,BEL
T,Belgium,2010,W071,660632.0,glass,BEL
T,Belgium,2010,W072,1579538.0,paper,BEL
T,Belgium,2010,W074,238784.0,plastic,BEL
T,Belgium,2010,W075,493224.0,wood,BEL
T,Belgium,2010,W077_08,518940.0,weee + batt + vehicles,BEL
T,Belgium,2010,W09,2397272.0,organic waste,BEL
T,Belgium,2010,W10,4040022.0,mixed waste,BEL
T,Belgium,2010,W11,0.0,common sludges,BEL
T,Belgium,2010,W12-13,1382290.0,mineral waste,BEL
T,Belgium,2012,W01-05,37828.0,chemical and medical,BEL
T,Belgium,2012,W06,188146.0,metal,BEL
T,Belgium,2012,W071,653862.0,glass,BEL
T,Belgium,2012,W072,1554252.0,paper,BEL
T,Belgium,2012,W074,225248.0,plastic,BEL
T,Belgium,2012,W075,497330.0,wood,BEL
T,Belgium,2012,W077_08,526774.0,weee + batt + vehicles,BEL
T,Belgium,2012,W09,2197990.0,organic waste,BEL
T,Belgium,2012,W10,3086484.0,mixed waste,BEL
T,Belgium,2012,W11,22998.0,common sludges,BEL
T,Belgium,2012,W12-13,1432134.0,mineral waste,BEL
T,Belgium,2014,W01-05,36790.0,chemical and medical,BEL
T,Belgium,2014,W06,179918.0,metal,BEL
T,Belgium,2014,W071,660012.0,glass,BEL
T,Belgium,2014,W072,1409824.0,paper,BEL
T,Belgium,2014,W074,235904.0,plastic,BEL
T,Belgium,2014,W075,497714.0,wood,BEL
T,Belgium,2014,W077_08,523272.0,weee + batt + vehicles,BEL
T,Belgium,2014,W09,1926252.0,organic waste,BEL
T,Belgium,2014,W10,3955406.0,mixed waste,BEL
T,Belgium,2014,W11,27356.0,common sludges,BEL
T,Belgium,2014,W12-13,1226022.0,mineral waste,BEL
T,Belgium,2016,W01-05,35570.0,chemical and medical,BEL
T,Belgium,2016,W06,181366.0,metal,BEL
T,Belgium,2016,W071,670762.0,glass,BEL
T,Belgium,2016,W072,1278768.0,paper,BEL
T,Belgium,2016,W074,214902.0,plastic,BEL
T,Belgium,2016,W075,643768.0,wood,BEL
T,Belgium,2016,W077_08,527302.0,weee + batt + vehicles,BEL
T,Belgium,2016,W09,1593120.0,organic waste,BEL
T,Belgium,2016,W10,3831786.0,mixed waste,BEL
T,Belgium,2016,W11,0.0,common sludges,BEL
T,Belgium,2016,W12-13,940420.0,mineral waste,BEL
T,Belgium,2018,W01-05,29608.0,chemical and medical,BEL
T,Belgium,2018,W06,179704.0,metal,BEL
T,Belgium,2018,W071,676624.0,glass,BEL
T,Belgium,2018,W072,1229080.0,paper,BEL
T,Belgium,2018,W074,187742.0,plastic,BEL
T,Belgium,2018,W075,655926.0,wood,BEL
T,Belgium,2018,W077_08,525434.0,weee + batt + vehicles,BEL
T,Belgium,2018,W09,1539774.0,organic waste,BEL
T,Belgium,2018,W10,3734766.0,mixed waste,BEL
T,Belgium,2018,W11,0.0,common sludges,BEL
T,Belgium,2018,W12-13,837908.0,mineral waste,BEL
T,Belgium,2020,W01-05,31522.0,chemical and medical,BEL
T,Belgium,2020,W06,234428.0,metal,BEL
T,Belgium,2020,W071,736150.0,glass,BEL
T,Belgium,2020,W072,1185988.0,paper,BEL
T,Belgium,2020,W074,308358.0,plastic,BEL
T,Belgium,2020,W075,712606.0,wood,BEL
T,Belgium,2020,W077_08,527172.0,weee + batt + vehicles,BEL
T,Belgium,2020,W09,1964314.0,organic waste,BEL
T,Belgium,2020,W10,3971764.0,mixed waste,BEL
T,Belgium,2020,W11,0.0,common sludges,BEL
T,Belgium,2020,W12-13,832992.0,mineral waste,BEL
T,Belgium,2022,W01-05,42622.0,chemical and medical,BEL
T,Belgium,2022,W06,201834.0,metal,BEL
T,Belgium,2022,W071,699934.0,glass,BEL
T,Belgium,2022,W072,1087518.0,paper,BEL
T,Belgium,2022,W074,365408.0,plastic,BEL
T,Belgium,2022,W075,611698.0,wood,BEL
T,Belgium,2022,W077_08,233770.0,weee + batt + vehicles,BEL
T,Belgium,2022,W09,1820574.0,organic waste,BEL
T,Belgium,2022,W10,3717534.0,mixed waste,BEL
T,Belgium,2022,W11,622.0,common sludges,BEL
T,Belgium,2022,W12-13,661816.0,mineral waste,BEL
T,Bulgaria,2004,W01-05,0.0,chemical and medical,BGR
T,Bulgaria,2004,W071,0.0,glass,BGR
T,Bulgaria,2004,W072,0.0,paper,BGR
T,Bulgaria,2004,W074,0.0,plastic,BGR
T,Bulgaria,2004,W075,0.0,wood,BGR
T,Bulgaria,2004,W077_08,0.0,weee + batt + vehicles,BGR
T,Bulgaria,2004,W09,0.0,organic waste,BGR
T,Bulgaria,2004,W10,5267184.0,mixed waste,BGR
T,Bulgaria,2004,W11,0.0,common sludges,BGR
T,Bulgaria,2004,W12-13,0.0,mineral waste,BGR
T,Bulgaria,2006,W01-05,0.0,chemical and medical,BGR
T,Bulgaria,2006,W071,0.0,glass,BGR
T,Bulgaria,2006,W072,0.0,paper,BGR
T,Bulgaria,2006,W074,0.0,plastic,BGR
T,Bulgaria,2006,W075,0.0,wood,BGR
T,Bulgaria,2006,W077_08,0.0,weee + batt + vehicles,BGR
T,Bulgaria,2006,W09,0.0,organic waste,BGR
T,Bulgaria,2006,W10,5857962.0,mixed waste,BGR
T,Bulgaria,2006,W11,0.0,common sludges,BGR
T,Bulgaria,2006,W12-13,0.0,mineral waste,BGR
T,Bulgaria,2008,W01-05,0.0,chemical and medical,BGR
T,Bulgaria,2008,W071,0.0,glass,BGR
T,Bulgaria,2008,W072,0.0,paper,BGR
T,Bulgaria,2008,W074,0.0,plastic,BGR
T,Bulgaria,2008,W075,0.0,wood,BGR
T,Bulgaria,2008,W077_08,0.0,weee + batt + vehicles,BGR
T,Bulgaria,2008,W09,0.0,organic waste,BGR
T,Bulgaria,2008,W10,5814242.0,mixed waste,BGR
T,Bulgaria,2008,W11,0.0,common sludges,BGR
T,Bulgaria,2008,W12-13,0.0,mineral waste,BGR
T,Bulgaria,2010,W01-05,5650.0,chemical and medical,BGR
T,Bulgaria,2010,W06,1652848.0,metal,BGR
T,Bulgaria,2010,W071,124516.0,glass,BGR
T,Bulgaria,2010,W072,166654.0,paper,BGR
T,Bulgaria,2010,W074,42458.0,plastic,BGR
T,Bulgaria,2010,W075,0.0,wood,BGR
T,Bulgaria,2010,W077_08,255222.0,weee + batt + vehicles,BGR
T,Bulgaria,2010,W09,0.0,organic waste,BGR
T,Bulgaria,2010,W10,4792674.0,mixed waste,BGR
T,Bulgaria,2010,W11,0.0,common sludges,BGR
T,Bulgaria,2010,W12-13,0.0,mineral waste,BGR
T,Bulgaria,2012,W01-05,6404.0,chemical and medical,BGR
T,Bulgaria,2012,W06,1077362.0,metal,BGR
T,Bulgaria,2012,W071,54252.0,glass,BGR
T,Bulgaria,2012,W072,161264.0,paper,BGR
T,Bulgaria,2012,W074,78572.0,plastic,BGR
T,Bulgaria,2012,W075,64268.0,wood,BGR
T,Bulgaria,2012,W077_08,205264.0,weee + batt + vehicles,BGR
T,Bulgaria,2012,W09,0.0,organic waste,BGR
T,Bulgaria,2012,W10,3823334.0,mixed waste,BGR
T,Bulgaria,2012,W11,0.0,common sludges,BGR
T,Bulgaria,2012,W12-13,0.0,mineral waste,BGR
T,Bulgaria,2014,W01-05,196.0,chemical and medical,BGR
T,Bulgaria,2014,W06,628596.0,metal,BGR
T,Bulgaria,2014,W071,25128.0,glass,BGR
T,Bulgaria,2014,W072,305824.0,paper,BGR
T,Bulgaria,2014,W074,108150.0,plastic,BGR
T,Bulgaria,2014,W075,13584.0,wood,BGR
T,Bulgaria,2014,W077_08,195424.0,weee + batt + vehicles,BGR
T,Bulgaria,2014,W09,69840.0,organic waste,BGR
T,Bulgaria,2014,W10,4003050.0,mixed waste,BGR
T,Bulgaria,2014,W11,7422.0,common sludges,BGR
T,Bulgaria,2014,W12-13,6350.0,mineral waste,BGR
T,Bulgaria,2016,W01-05,36408.0,chemical and medical,BGR
T,Bulgaria,2016,W06,206702.0,metal,BGR
T,Bulgaria,2016,W071,145238.0,glass,BGR
T,Bulgaria,2016,W072,339950.0,paper,BGR
T,Bulgaria,2016,W074,74358.0,plastic,BGR
T,Bulgaria,2016,W075,102800.0,wood,BGR
T,Bulgaria,2016,W077_08,318172.0,weee + batt + vehicles,BGR
T,Bulgaria,2016,W09,283676.0,organic waste,BGR
T,Bulgaria,2016,W10,3236560.0,mixed waste,BGR
T,Bulgaria,2016,W11,0.0,common sludges,BGR
T,Bulgaria,2016,W12-13,871648.0,mineral waste,BGR
T,Bulgaria,2018,W01-05,3448.0,chemical and medical,BGR
T,Bulgaria,2018,W06,380390.0,metal,BGR
T,Bulgaria,2018,W071,237156.0,glass,BGR
T,Bulgaria,2018,W072,685982.0,paper,BGR
T,Bulgaria,2018,W074,350462.0,plastic,BGR
T,Bulgaria,2018,W075,165534.0,wood,BGR
T,Bulgaria,2018,W077_08,430866.0,weee + batt + vehicles,BGR
T,Bulgaria,2018,W09,170426.0,organic waste,BGR
T,Bulgaria,2018,W10,3826350.0,mixed waste,BGR
T,Bulgaria,2018,W11,32642.0,common sludges,BGR
T,Bulgaria,2018,W12-13,3820.0,mineral waste,BGR
T,Bulgaria,2020,W01-05,9716.0,chemical and medical,BGR
T,Bulgaria,2020,W06,200566.0,metal,BGR
T,Bulgaria,2020,W071,26876.0,glass,BGR
T,Bulgaria,2020,W072,219312.0,paper,BGR
T,Bulgaria,2020,W074,65190.0,plastic,BGR
T,Bulgaria,2020,W075,18548.0,wood,BGR
T,Bulgaria,2020,W077_08,250871.0,weee + batt + vehicles,BGR
T,Bulgaria,2020,W09,49020.0,organic waste,BGR
T,Bulgaria,2020,W10,3707918.0,mixed waste,BGR
T,Bulgaria,2020,W11,59080.0,common sludges,BGR
T,Bulgaria,2020,W12-13,15514.0,mineral waste,BGR
T,Bulgaria,2022,W01-05,4658.0,chemical and medical,BGR
T,Bulgaria,2022,W06,225416.0,metal,BGR
T,Bulgaria,2022,W071,40068.0,glass,BGR
T,Bulgaria,2022,W072,241806.0,paper,BGR
T,Bulgaria,2022,W074,59938.0,plastic,BGR
T,Bulgaria,2022,W075,62004.0,wood,BGR
T,Bulgaria,2022,W077_08,366306.0,weee + batt + vehicles,BGR
T,Bulgaria,2022,W09,166190.0,organic waste,BGR
T,Bulgaria,2022,W10,4045964.0,mixed waste,BGR
T,Bulgaria,2022,W11,0.0,common sludges,BGR
T,Bulgaria,2022,W12-13,0.0,mineral waste,BGR
T,Cyprus,2004,W01-05,0.0,chemical and medical,CYP
T,Cyprus,2004,W071,8816.0,glass,CYP
T,Cyprus,2004,W072,209390.0,paper,CYP
T,Cyprus,2004,W074,88900.0,plastic,CYP
T,Cyprus,2004,W075,0.0,wood,CYP
T,Cyprus,2004,W077_08,0.0,weee + batt + vehicles,CYP
T,Cyprus,2004,W09,0.0,organic waste,CYP
T,Cyprus,2004,W10,361476.0,mixed waste,CYP
T,Cyprus,2004,W11,0.0,common sludges,CYP
T,Cyprus,2004,W12-13,0.0,mineral waste,CYP
T,Cyprus,2006,W01-05,2520.0,chemical and medical,CYP
T,Cyprus,2006,W071,8350.0,glass,CYP
T,Cyprus,2006,W072,198422.0,paper,CYP
T,Cyprus,2006,W074,84248.0,plastic,CYP
T,Cyprus,2006,W075,0.0,wood,CYP
T,Cyprus,2006,W077_08,6304.0,weee + batt + vehicles,CYP
T,Cyprus,2006,W09,0.0,organic waste,CYP
T,Cyprus,2006,W10,342552.0,mixed waste,CYP
T,Cyprus,2006,W11,0.0,common sludges,CYP
T,Cyprus,2006,W12-13,0.0,mineral waste,CYP
T,Cyprus,2008,W01-05,3232.0,chemical and medical,CYP
T,Cyprus,2008,W071,22820.0,glass,CYP
T,Cyprus,2008,W072,227122.0,paper,CYP
T,Cyprus,2008,W074,116612.0,plastic,CYP
T,Cyprus,2008,W075,0.0,wood,CYP
T,Cyprus,2008,W077_08,16898.0,weee + batt + vehicles,CYP
T,Cyprus,2008,W09,0.0,organic waste,CYP
T,Cyprus,2008,W10,196518.0,mixed waste,CYP
T,Cyprus,2008,W11,0.0,common sludges,CYP
T,Cyprus,2008,W12-13,0.0,mineral waste,CYP
T,Cyprus,2010,W01-05,1902.0,chemical and medical,CYP
T,Cyprus,2010,W06,34176.0,metal,CYP
T,Cyprus,2010,W071,31192.0,glass,CYP
T,Cyprus,2010,W072,222158.0,paper,CYP
T,Cyprus,2010,W074,152406.0,plastic,CYP
T,Cyprus,2010,W075,15538.0,wood,CYP
T,Cyprus,2010,W077_08,26288.0,weee + batt + vehicles,CYP
T,Cyprus,2010,W09,81482.0,organic waste,CYP
T,Cyprus,2010,W10,193066.0,mixed waste,CYP
T,Cyprus,2010,W11,0.0,common sludges,CYP
T,Cyprus,2010,W12-13,0.0,mineral waste,CYP
T,Cyprus,2012,W01-05,0.0,chemical and medical,CYP
T,Cyprus,2012,W06,0.0,metal,CYP
T,Cyprus,2012,W071,10060.0,glass,CYP
T,Cyprus,2012,W072,23022.0,paper,CYP
T,Cyprus,2012,W074,0.0,plastic,CYP
T,Cyprus,2012,W075,0.0,wood,CYP
T,Cyprus,2012,W077_08,22008.0,weee + batt + vehicles,CYP
T,Cyprus,2012,W09,13560.0,organic waste,CYP
